POSTCODE,Number of meters,Consumption (kWh),Mean consumption (kWh),Median consumption (kWh)
W9 2HF,84,694566.76558,8268.6519712,7218.1008902
W9 2HG,72,746372.89812,10366.290252,8884.272997
W9 2HQ,106,972641.93867,9175.867346,7903.066271
W9 2HT,16,156734.91592,9795.9322453,7195.3511375
W9 2JA,16,225640.94955,14102.559347,10886.745796
W9 2JF,25,382712.16617,15308.486647,14367.952522
W9 2JG,36,470781.40455,13077.261237,9381.305638
W9 2JJ,8,59137.487636,7392.1859545,7160.2373887
W9 2JX,5,3347.1810089,669.43620178,622.15628091
W9 2LA,30,265099.90109,8836.6633696,7603.8575668
W9 2LB,29,251858.55589,8684.7777891,9755.6874382
W9 2LE,39,361621.16716,9272.3376195,8949.5548961
W9 2LF,50,433291.79031,8665.8358061,7075.1730959
W9 2LH,56,642056.37982,11465.292497,11368.447082
W9 2LJ,56,563105.83581,10055.461354,8703.264095
W9 2LL,52,443643.91691,8531.6137868,8201.7804154
W9 2LS,21,221071.21662,10527.200791,9659.7428289
W9 2LT,30,313491.59248,10449.719749,10107.814045
W9 2LU,24,330455.98417,13768.999341,12555.885262
W9 2LX,18,235061.32542,13058.962523,9436.6963403
W9 2LZ,5,101346.19189,20269.238378,14426.310584
W9 2NA,5,92145.400593,18429.080119,19068.249258
W9 2NB,39,463480.71217,11884.120825,10814.0455
W9 2ND,30,284591.49357,9486.383119,9701.7804154
W9 2NE,39,442361.02868,11342.590479,10659.742829
W9 2NF,30,388468.84273,12948.961424,12275.469832
W9 2NG,29,376433.23442,12980.456359,11875.37092
W9 2NH,5,71918.892186,14383.778437,17624.13452
W9 2NP,47,491768.54599,10463.160553,7646.884273
W9 2NQ,30,410377.84372,13679.261457,12547.972305
W9 2NR,33,334065.2819,10123.190361,9440.1582591
W9 2NS,35,341659.74283,9761.706938,7615.2324431
